video_name,source_video,platform,license,link,link_type,drive_link,note
angry_019.mp4,83e5492067d3b299b7f41ab9085f3176,TikTok,fragment badawczy <25% utworu,https://drive.google.com/file/d/1Xch86Hj5OP4hTxL-HRL_4UrYup6W6K5S/view,kopia_drive,https://drive.google.com/file/d/1Xch86Hj5OP4hTxL-HRL_4UrYup6W6K5S/view,plik z TikToka bez ID w nazwie - brak mozliwosci odtworzenia linku
angry_020.mp4,8e367540966b31b19e080859a45c7464,TikTok,fragment badawczy <25% utworu,https://drive.google.com/file/d/1v8cCuvSS5U3GmDAtQr2Aa5MA1J_W9Fzk/view,kopia_drive,https://drive.google.com/file/d/1v8cCuvSS5U3GmDAtQr2Aa5MA1J_W9Fzk/view,plik z TikToka bez ID w nazwie - brak mozliwosci odtworzenia linku
angry_021.mp4,9cd1fd9fa559fe7bc1fabeb08e689cda,TikTok,fragment badawczy <25% utworu,https://drive.google.com/file/d/1nXVKwXMR23LJ_vLexBVTAfcliN7f-M77/view,kopia_drive,https://drive.google.com/file/d/1nXVKwXMR23LJ_vLexBVTAfcliN7f-M77/view,plik z TikToka bez ID w nazwie - brak mozliwosci odtworzenia linku
angry_022.mp4,9f66c75da00cc8f18c07a8ba92a0b6fa,TikTok,fragment badawczy <25% utworu,https://drive.google.com/file/d/1LQrYqhOqVAen5tlKlr4ReOI_ONzxbfr4/view,kopia_drive,https://drive.google.com/file/d/1LQrYqhOqVAen5tlKlr4ReOI_ONzxbfr4/view,plik z TikToka bez ID w nazwie - brak mozliwosci odtworzenia linku
angry_023.mp4,IMG_8093.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1DXx5UQcoy3nMr6Eev2HweICZ8Q1SqET_/view,kopia_drive,https://drive.google.com/file/d/1DXx5UQcoy3nMr6Eev2HweICZ8Q1SqET_/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_024.mp4,IMG_8094.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1Rqg47CM-q6JRxQ4LS4aQU4WeAHLdkm3Q/view,kopia_drive,https://drive.google.com/file/d/1Rqg47CM-q6JRxQ4LS4aQU4WeAHLdkm3Q/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_025.mp4,IMG_8095.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1A9AMdDjz4JutELleETHU99_7DtZtt-C5/view,kopia_drive,https://drive.google.com/file/d/1A9AMdDjz4JutELleETHU99_7DtZtt-C5/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_026.mp4,IMG_8096.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1qNVK6HKsiPuOFFDN_QDpKmM7BxbM-Tnb/view,kopia_drive,https://drive.google.com/file/d/1qNVK6HKsiPuOFFDN_QDpKmM7BxbM-Tnb/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_027.mp4,IMG_8097.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1s1_Mc7r-1kdoJEs8AJ6MR6iQW1-d3YGa/view,kopia_drive,https://drive.google.com/file/d/1s1_Mc7r-1kdoJEs8AJ6MR6iQW1-d3YGa/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_028.mp4,IMG_8099.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1msifmUgfNUKnTAnqmLdKK5YG8X9Kz2Fm/view,kopia_drive,https://drive.google.com/file/d/1msifmUgfNUKnTAnqmLdKK5YG8X9Kz2Fm/view,nagranie z telefonu (IMG/VID) - brak zrodla online
